finding_id,finding,source_script,test,statistic,p_value,effect_metric,effect_value,survives_confound,verdict
F01,Vedic/Panchang features degrade next-step wind-change RMSE,"06, 07",RMSE comparison (chronological holdout),RMSE 4.164 → 4.372 kt,N/A,% RMSE change,-5.0%,N/A,No predictive lift — Vedic features add noise
F02,Panchang group RMSE permutation lift ≈ 0.010 kt (vs meteo 0.582),07,Permutation group importance,lift = 0.0103 kt,N/A,Absolute RMSE lift,0.0103 kt,N/A,Panchang contributes <2% of total explainable variance
F03,"Lunar phase significantly associated with RI (chi²=19.66, Bonferroni p=0.006)",06,Chi-squared (8 phases × 2 RI classes),chi²=19.66,0.006363,Cramer's V,0.0203,Yes (Bonferroni-corrected),Statistically significant; Cramer's V≈0.020 — negligible practical effect
F04,"Waning Crescent has highest RI rate (301), Waxing Crescent lowest (220) — 37% range",06,Contingency table inspection,Range 220–301 RI events across phases,0.006363,RI count range,37%,Yes (within H2),Real but small; needs lifecycle stratification
F05,Yam speed vs storm bearing: Spearman rho=−0.178 (p<1e-270),06,Spearman rank correlation,rho=−0.178,3.8e-271,r² (variance explained),0.0317,Partially — outer planets have near-constant speed,Consistent small correlation; r²=3%; spline leakage risk noted
F06,Shani/Varun speed vs bearing rho≈−0.168/−0.167 (p<1e-230),06,Spearman rank correlation,rho≈−0.17,<1e-230,r²,0.028,Varun retro 60% of obs — near-constant,Same caveat as F05; effect small but replicable across planets
F07,Varun retrograde: median wind +4 kt vs direct (p=2.3e-59),05,Mann-Whitney U,U=294M,2.3e-59,rank-biserial r,-0.0878,Suspect — Varun retrograde 60% of observations,Statistically significant; r<0.1 (small) — large N inflates significance
F08,Shukra retrograde: median wind +5 kt vs direct (p=6.6e-6),05,Mann-Whitney U,U=85.7M,6.6e-06,rank-biserial r,-0.0442,Not checked,Small effect; largest absolute median difference among retrograde planets
F09,"Rahu full degree shift differs significantly around RI onset (F=18.75, p=2.5e-5)",06,"ANOVA (event window, N=176 windows)",F=18.75,2.51e-05,eta-squared,≈0.097,Not assessed — small sample,Medium eta²=0.097 on N=176; requires replication with larger sample
F10,"Mars (Mangal) retrograde → higher spline curvature (F=19.34, p=1.1e-5)",06,ANOVA,F=19.34,1.1e-05,eta-squared,0.000505,Not assessed,Statistically significant; eta²<0.001 — trivially small effect
F11,Yoga KW H=143 on wind (p=3.4e-18),02,Kruskal-Wallis,H=143.3,3.4e-18,epsilon-squared,-0.120352,strong within-stratum signal,Confound check required; seasonal proxy likely drives signal
F12,Nakshatra KW H=116 on wind (p=2.4e-13),02,Kruskal-Wallis,H=116.1,2.4e-13,epsilon-squared,-0.118273,strong within-stratum signal,Confound check required; collinear with sunsign (H=1123)
F13,Samvatsara ANOVA p<1e-130 on wind,06,One-way ANOVA,F=65.12,1.6e-132,N/A,N/A,No — maps to calendar year,"CONFOUNDED: Samvatsara ≈ calendar year; reflects ENSO/PDO, not Hindu cycle"
F14,Rahu full degree: Spearman rho=0.013 vs wind_change (p=0.006),06,Spearman,rho=0.013,0.006,r²,0.000169,Survives Bonferroni (barely),"Negligible r²=0.017%; statistically real, practically irrelevant"
F15,"4 Vedic features in SHAP/LIME top-14 consensus: arun_speed, budha_speed, budha_degree, guru_degree",04,SHAP + LIME feature consensus,14 consensus features; 4 Vedic,N/A,Consensus rank,Top 30 of both methods,Not assessed,"Vedic speed/degree features rank in model importance, but model uses autocorrelated train/test split"
F16,Meteo-only wins or ties in 4/5 forward-chaining folds vs full model,07,Forward-chaining CV (5 folds),4/5 folds: meteo ≤ full,N/A,RMSE difference per fold,0.15–0.48 kt worse for full,N/A,Consistent across time — Vedic/astro features do not generalise to future storms
